Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;73
Nome da estação:;Congonhas

Data;Hora;Média Horária
;;CO(Monóxido de Carbono) - ppm
02/07/2025;01:00;
02/07/2025;02:00;
02/07/2025;03:00;
02/07/2025;04:00;
02/07/2025;05:00;
02/07/2025;06:00;
02/07/2025;07:00;
02/07/2025;08:00;
02/07/2025;09:00;
02/07/2025;10:00;
02/07/2025;11:00;
02/07/2025;12:00;
02/07/2025;13:00;
02/07/2025;14:00;
02/07/2025;15:00;
02/07/2025;16:00;0,9
02/07/2025;17:00;0,9
02/07/2025;18:00;1,1
02/07/2025;19:00;1,0
02/07/2025;20:00;0,9
02/07/2025;21:00;0,7
02/07/2025;22:00;0,7
02/07/2025;23:00;0,6
02/07/2025;24:00;0,4
03/07/2025;01:00;0,3
03/07/2025;02:00;0,1
03/07/2025;03:00;0,1
03/07/2025;04:00;0,2
03/07/2025;05:00;0,4
03/07/2025;06:00;0,9
03/07/2025;07:00;1,0
03/07/2025;08:00;0,9
03/07/2025;09:00;1,3
03/07/2025;10:00;1,1
03/07/2025;11:00;0,9
03/07/2025;12:00;1,1
03/07/2025;13:00;0,9
03/07/2025;14:00;0,9
03/07/2025;15:00;0,9
03/07/2025;16:00;0,9
03/07/2025;17:00;0,9
03/07/2025;18:00;1,2
03/07/2025;19:00;1,1
03/07/2025;20:00;0,8
03/07/2025;21:00;0,7
03/07/2025;22:00;0,8
03/07/2025;23:00;0,6
03/07/2025;24:00;0,6
04/07/2025;01:00;0,5
04/07/2025;02:00;0,3
04/07/2025;03:00;0,2
04/07/2025;04:00;0,3
04/07/2025;05:00;0,4
04/07/2025;06:00;0,9
04/07/2025;07:00;0,9
04/07/2025;08:00;1,3
04/07/2025;09:00;0,6
04/07/2025;10:00;0,6
04/07/2025;11:00;0,6
04/07/2025;12:00;0,6
04/07/2025;13:00;0,4
04/07/2025;14:00;0,5
04/07/2025;15:00;0,9
04/07/2025;16:00;1,2
04/07/2025;17:00;1,2
04/07/2025;18:00;1,1
04/07/2025;19:00;1,1
04/07/2025;20:00;1,1
04/07/2025;21:00;1,1
04/07/2025;22:00;0,6
04/07/2025;23:00;0,6
04/07/2025;24:00;0,5
05/07/2025;01:00;0,3
05/07/2025;02:00;0,2
05/07/2025;03:00;0,2
05/07/2025;04:00;0,2
05/07/2025;05:00;0,2
05/07/2025;06:00;0,3
05/07/2025;07:00;0,5
05/07/2025;08:00;0,6
05/07/2025;09:00;0,7
05/07/2025;10:00;0,6
05/07/2025;11:00;0,7
05/07/2025;12:00;0,7
05/07/2025;13:00;0,7
05/07/2025;14:00;0,6
05/07/2025;15:00;0,7
05/07/2025;16:00;0,8
05/07/2025;17:00;1,0
05/07/2025;18:00;0,9
05/07/2025;19:00;1,0
05/07/2025;20:00;0,9
05/07/2025;21:00;0,8
05/07/2025;22:00;0,8
05/07/2025;23:00;0,9
05/07/2025;24:00;0,9
06/07/2025;01:00;0,7
06/07/2025;02:00;0,6
06/07/2025;03:00;0,6
06/07/2025;04:00;0,7
06/07/2025;05:00;0,6
06/07/2025;06:00;0,7
06/07/2025;07:00;0,6
06/07/2025;08:00;0,6
06/07/2025;09:00;0,6
06/07/2025;10:00;0,5
06/07/2025;11:00;0,6
06/07/2025;12:00;0,6
06/07/2025;13:00;0,5
06/07/2025;14:00;0,5
06/07/2025;15:00;0,5
06/07/2025;16:00;0,6
06/07/2025;17:00;0,6
06/07/2025;18:00;0,7
06/07/2025;19:00;1,0
06/07/2025;20:00;1,2
06/07/2025;21:00;0,9
06/07/2025;22:00;0,9
06/07/2025;23:00;0,7
06/07/2025;24:00;0,4
07/07/2025;01:00;0,3
07/07/2025;02:00;0,1
07/07/2025;03:00;0,2
07/07/2025;04:00;0,2
07/07/2025;05:00;0,4
07/07/2025;06:00;0,6
07/07/2025;07:00;0,4
07/07/2025;08:00;0,8
07/07/2025;09:00;0,8
07/07/2025;10:00;0,7
07/07/2025;11:00;0,7
07/07/2025;12:00;0,6
07/07/2025;13:00;0,6
07/07/2025;14:00;0,7
07/07/2025;15:00;0,7
07/07/2025;16:00;0,9
07/07/2025;17:00;1,1
07/07/2025;18:00;1,3
07/07/2025;19:00;1,4
07/07/2025;20:00;1,1
07/07/2025;21:00;0,5
07/07/2025;22:00;0,3
07/07/2025;23:00;0,4
07/07/2025;24:00;0,3
08/07/2025;01:00;0,3
08/07/2025;02:00;0,2
08/07/2025;03:00;0,2
08/07/2025;04:00;0,2
08/07/2025;05:00;0,3
08/07/2025;06:00;0,3
08/07/2025;07:00;0,5
08/07/2025;08:00;0,6
08/07/2025;09:00;0,6
08/07/2025;10:00;0,9
08/07/2025;11:00;0,8
08/07/2025;12:00;0,8
08/07/2025;13:00;0,8
08/07/2025;14:00;0,6
08/07/2025;15:00;0,8
08/07/2025;16:00;0,8
08/07/2025;17:00;1,0
08/07/2025;18:00;1,1
08/07/2025;19:00;
08/07/2025;20:00;
08/07/2025;21:00;
08/07/2025;22:00;
08/07/2025;23:00;
08/07/2025;24:00;
09/07/2025;01:00;
09/07/2025;02:00;
09/07/2025;03:00;
09/07/2025;04:00;
09/07/2025;05:00;
09/07/2025;06:00;
09/07/2025;07:00;
09/07/2025;08:00;
09/07/2025;09:00;
09/07/2025;10:00;
09/07/2025;11:00;0,6
09/07/2025;12:00;0,7
09/07/2025;13:00;0,8
09/07/2025;14:00;0,7
09/07/2025;15:00;0,7
09/07/2025;16:00;0,6
09/07/2025;17:00;0,9
09/07/2025;18:00;0,7
09/07/2025;19:00;1,0
09/07/2025;20:00;0,9
09/07/2025;21:00;0,8
09/07/2025;22:00;0,7
09/07/2025;23:00;0,6
09/07/2025;24:00;0,5
10/07/2025;01:00;0,3
10/07/2025;02:00;0,2
10/07/2025;03:00;0,2
10/07/2025;04:00;0,3
10/07/2025;05:00;0,4
10/07/2025;06:00;0,7
10/07/2025;07:00;0,6
10/07/2025;08:00;0,8
10/07/2025;09:00;0,7
10/07/2025;10:00;0,6
10/07/2025;11:00;0,5
10/07/2025;12:00;0,5
10/07/2025;13:00;0,7
10/07/2025;14:00;0,7
10/07/2025;15:00;0,9
10/07/2025;16:00;1,0
10/07/2025;17:00;1,1
10/07/2025;18:00;1,2
10/07/2025;19:00;1,3
10/07/2025;20:00;1,0
10/07/2025;21:00;0,7
10/07/2025;22:00;0,5
10/07/2025;23:00;0,7
10/07/2025;24:00;0,5
11/07/2025;01:00;0,3
11/07/2025;02:00;0,2
11/07/2025;03:00;0,2
11/07/2025;04:00;0,3
11/07/2025;05:00;0,3
11/07/2025;06:00;0,5
11/07/2025;07:00;0,6
11/07/2025;08:00;0,8
11/07/2025;09:00;0,8
11/07/2025;10:00;0,9
11/07/2025;11:00;0,9
11/07/2025;12:00;0,9
11/07/2025;13:00;0,8
11/07/2025;14:00;0,8
11/07/2025;15:00;0,9
11/07/2025;16:00;0,9
11/07/2025;17:00;1,7
11/07/2025;18:00;1,6
11/07/2025;19:00;1,3
11/07/2025;20:00;1,2
11/07/2025;21:00;1,2
11/07/2025;22:00;1,3
11/07/2025;23:00;0,9
11/07/2025;24:00;0,7
12/07/2025;01:00;0,7
12/07/2025;02:00;0,6
12/07/2025;03:00;0,5
12/07/2025;04:00;0,5
12/07/2025;05:00;0,6
12/07/2025;06:00;0,7
12/07/2025;07:00;0,6
12/07/2025;08:00;0,8
12/07/2025;09:00;0,8
12/07/2025;10:00;0,8
12/07/2025;11:00;0,6
12/07/2025;12:00;0,6
12/07/2025;13:00;1,0
12/07/2025;14:00;0,9
12/07/2025;15:00;0,9
12/07/2025;16:00;1,0
12/07/2025;17:00;1,1
12/07/2025;18:00;1,0
12/07/2025;19:00;1,2
12/07/2025;20:00;1,2
12/07/2025;21:00;1,0
12/07/2025;22:00;0,9
12/07/2025;23:00;1,1
12/07/2025;24:00;0,7
13/07/2025;01:00;0,4
13/07/2025;02:00;0,3
13/07/2025;03:00;0,3
13/07/2025;04:00;0,3
13/07/2025;05:00;0,5
13/07/2025;06:00;0,9
13/07/2025;07:00;0,5
