Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;116
Nome da estação:;São José do Rio Preto

Data;Hora;Média Horária
;;TEMP(Temperatura do Ar) - °C
02/07/2025;01:00;16,5
02/07/2025;02:00;16,5
02/07/2025;03:00;16,0
02/07/2025;04:00;15,3
02/07/2025;05:00;14,8
02/07/2025;06:00;14,2
02/07/2025;07:00;13,4
02/07/2025;08:00;13,0
02/07/2025;09:00;14,3
02/07/2025;10:00;16,6
02/07/2025;11:00;19,2
02/07/2025;12:00;21,4
02/07/2025;13:00;23,4
02/07/2025;14:00;25,2
02/07/2025;15:00;25,9
02/07/2025;16:00;26,3
02/07/2025;17:00;25,9
02/07/2025;18:00;24,2
02/07/2025;19:00;22,1
02/07/2025;20:00;21,3
02/07/2025;21:00;20,3
02/07/2025;22:00;18,8
02/07/2025;23:00;17,2
02/07/2025;24:00;15,9
03/07/2025;01:00;14,7
03/07/2025;02:00;13,9
03/07/2025;03:00;13,3
03/07/2025;04:00;12,8
03/07/2025;05:00;12,3
03/07/2025;06:00;11,9
03/07/2025;07:00;11,6
03/07/2025;08:00;11,7
03/07/2025;09:00;13,5
03/07/2025;10:00;15,7
03/07/2025;11:00;17,5
03/07/2025;12:00;20,2
03/07/2025;13:00;21,8
03/07/2025;14:00;23,9
03/07/2025;15:00;24,5
03/07/2025;16:00;25,0
03/07/2025;17:00;24,9
03/07/2025;18:00;23,8
03/07/2025;19:00;21,5
03/07/2025;20:00;20,0
03/07/2025;21:00;18,4
03/07/2025;22:00;16,9
03/07/2025;23:00;15,8
03/07/2025;24:00;15,2
04/07/2025;01:00;14,5
04/07/2025;02:00;13,8
04/07/2025;03:00;13,4
04/07/2025;04:00;13,0
04/07/2025;05:00;12,5
04/07/2025;06:00;12,4
04/07/2025;07:00;12,3
04/07/2025;08:00;12,2
04/07/2025;09:00;14,2
04/07/2025;10:00;17,1
04/07/2025;11:00;19,8
04/07/2025;12:00;22,8
04/07/2025;13:00;24,6
04/07/2025;14:00;25,8
04/07/2025;15:00;26,7
04/07/2025;16:00;26,7
04/07/2025;17:00;26,6
04/07/2025;18:00;25,1
04/07/2025;19:00;23,3
04/07/2025;20:00;21,7
04/07/2025;21:00;20,5
04/07/2025;22:00;19,5
04/07/2025;23:00;18,9
04/07/2025;24:00;18,1
05/07/2025;01:00;17,3
05/07/2025;02:00;16,5
05/07/2025;03:00;16,2
05/07/2025;04:00;15,6
05/07/2025;05:00;15,1
05/07/2025;06:00;14,6
05/07/2025;07:00;14,0
05/07/2025;08:00;14,5
05/07/2025;09:00;16,4
05/07/2025;10:00;19,3
05/07/2025;11:00;22,2
05/07/2025;12:00;24,5
05/07/2025;13:00;25,8
05/07/2025;14:00;26,5
05/07/2025;15:00;26,8
05/07/2025;16:00;26,8
05/07/2025;17:00;26,8
05/07/2025;18:00;24,8
05/07/2025;19:00;22,8
05/07/2025;20:00;21,1
05/07/2025;21:00;20,3
05/07/2025;22:00;19,8
05/07/2025;23:00;18,9
05/07/2025;24:00;18,1
06/07/2025;01:00;17,4
06/07/2025;02:00;17,4
06/07/2025;03:00;17,0
06/07/2025;04:00;16,4
06/07/2025;05:00;15,1
06/07/2025;06:00;14,6
06/07/2025;07:00;14,2
06/07/2025;08:00;14,6
06/07/2025;09:00;17,2
06/07/2025;10:00;20,8
06/07/2025;11:00;23,7
06/07/2025;12:00;25,2
06/07/2025;13:00;25,2
06/07/2025;14:00;25,6
06/07/2025;15:00;26,6
06/07/2025;16:00;27,1
06/07/2025;17:00;26,8
06/07/2025;18:00;25,0
06/07/2025;19:00;22,9
06/07/2025;20:00;20,8
06/07/2025;21:00;20,2
06/07/2025;22:00;19,1
06/07/2025;23:00;18,4
06/07/2025;24:00;17,7
07/07/2025;01:00;16,7
07/07/2025;02:00;16,3
07/07/2025;03:00;16,0
07/07/2025;04:00;15,1
07/07/2025;05:00;14,1
07/07/2025;06:00;13,4
07/07/2025;07:00;12,8
07/07/2025;08:00;13,1
07/07/2025;09:00;15,6
07/07/2025;10:00;18,3
07/07/2025;11:00;21,4
07/07/2025;12:00;24,4
07/07/2025;13:00;26,2
07/07/2025;14:00;27,1
07/07/2025;15:00;27,6
07/07/2025;16:00;27,2
07/07/2025;17:00;27,2
07/07/2025;18:00;25,6
07/07/2025;19:00;23,2
07/07/2025;20:00;21,6
07/07/2025;21:00;20,8
07/07/2025;22:00;20,0
07/07/2025;23:00;19,7
07/07/2025;24:00;18,8
08/07/2025;01:00;18,5
08/07/2025;02:00;17,7
08/07/2025;03:00;16,7
08/07/2025;04:00;15,6
08/07/2025;05:00;15,4
08/07/2025;06:00;14,9
08/07/2025;07:00;14,5
08/07/2025;08:00;14,6
08/07/2025;09:00;17,9
08/07/2025;10:00;21,4
08/07/2025;11:00;23,8
08/07/2025;12:00;24,8
08/07/2025;13:00;26,1
08/07/2025;14:00;26,6
08/07/2025;15:00;26,6
08/07/2025;16:00;26,5
