Timestamp,Temperature(C),Humidity(%),MQ4_Voltage(V),MQ4_PPM,MQ7_Voltage(V),MQ7_CO_PPM
2025-06-25 16:05:32,22.4,68.4,0.12,0.01,0.09,0.01
2025-06-25 16:05:42,22.4,68.4,0.35,0.03,0.20,0.03
2025-06-25 16:05:52,22.5,68.3,1.10,0.20,1.15,0.17
2025-06-25 16:06:02,22.6,68.3,2.40,0.50,2.65,0.35
2025-06-25 16:06:12,22.6,68.2,3.00,0.85,3.05,0.70
2025-06-25 16:06:22,22.7,68.1,3.30,1.00,3.30,1.00
2025-06-25 16:06:32,22.7,68.0,2.80,0.75,2.95,0.60
2025-06-25 16:06:42,22.6,68.1,1.90,0.40,2.10,0.30
2025-06-25 16:06:52,22.6,68.2,0.70,0.10,1.00,0.07
2025-06-25 16:07:02,22.5,68.3,0.20,0.02,0.50,0.02
2025-06-25 16:07:12,22.5,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:07:22,22.5,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:07:32,22.5,68.3,0.05,0.01,0.05,0.01
2025-06-25 16:07:42,22.6,68.2,0.15,0.02,0.25,0.02
2025-06-25 16:07:52,22.7,68.2,0.90,0.18,1.30,0.20
2025-06-25 16:08:02,22.9,68.1,2.50,0.55,2.90,0.42
2025-06-25 16:08:12,23.0,68.1,3.20,1.00,3.30,1.00
2025-06-25 16:08:22,23.0,68.0,2.80,0.75,2.90,0.60
2025-06-25 16:08:32,22.9,68.0,1.50,0.30,1.70,0.25
2025-06-25 16:08:42,22.8,68.1,0.50,0.05,0.80,0.03
2025-06-25 16:08:52,22.7,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:09:02,22.7,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:09:12,22.7,68.3,0.10,0.01,0.12,0.01
2025-06-25 16:09:22,22.8,68.2,0.30,0.04,0.40,0.03
2025-06-25 16:09:32,22.9,68.2,1.80,0.40,2.20,0.30
2025-06-25 16:09:42,23.0,68.1,3.00,0.90,3.20,0.80
2025-06-25 16:09:52,23.1,68.0,3.30,1.00,3.30,1.00
2025-06-25 16:10:02,23.1,67.9,2.40,0.60,2.70,0.50
2025-06-25 16:10:12,23.0,67.9,1.20,0.25,1.50,0.20
2025-06-25 16:10:22,22.9,68.0,0.35,0.03,0.60,0.02
2025-06-25 16:10:32,22.8,68.0,0.00,0.00,0.00,0.00
